Vinicius Silva : 3
Matheusin_🩴 : 6
JokerKommander_ : 1
JokerKommander_ : 0
Carlos Soriani : 4
Tio Bobe : 2
Sidney Martins : 2
Arthur Gomes : 4
Alessandro : 3
Aníbal Tavares : 5
Skol latinha  : 2
papaulo : 1
Caio Marinho : 1
StreamVip : 1
StreamVip : 8
Ervson BS : 1
drauzio Uber : 4
Deivylle Vinicios : 2
Max Santos : 1
Kleiton🇧🇷SANTOS.FC . Receba : 1
yasmin silva : 5
Luiz Felipe L1 triângulo : 1
Fredbsb Sousa : 1
Felipe Rosa : 2
Diego Oliveira : 3
Jefferson Alves : 1
gui eler : 5
Daniel Bessa : 6
Joao Lucas Mendonça Xavier : 2
micael _014 : 1
Caiio Reiis : 1
Matheus Fortunato : 3
Matheus Gurgel : 2
Ruy Bezerra : 2
Ferraz_plus : 3
Patryck Andrade : 1
Patryck Andrade : 2
Linha 4 : 2
William Sedano : 1
SamuraiTripleX : 3
Rodrigo Cabral : 2
Eliezer Vaz : 4
Daniel Cavalheiro Castro : 1
Makabbro : 5
Robson Spínola : 1
Leonardo Martins : 1
Vítor Maus : 1
Mauricio Adorno : 2
João Hatake : 1
Thiago Castro : 2
pimentaceltics : 3
Kbllym_7 : 7
JONES : 5
Iago Machado : 1
tiago RP : 2
fã do pele : 2
Johan Cruyff : 1
Gp_clashelite : 1
Tio Zé Neto : 1
Sandrosenna1976 : 1
Robson Cardoso : 1
Caio Monteiro : 1
mat_soares33 : 2
Jhonnyjow0709 : 4
Pedro Telles : 1
Arlucca : 1
Gabriel Tunico 🇫🇷 : 5
lucas reis : 1
Pedro Novak : 1
Afonso Casquilho : 6
Victor.oliveira : 1
Patrick Wallas : 1
xRodrigo06x : 1
Wesley Valadão : 1
Ws_10 : 3
Gabriel Sbruzzi : 2
FelipeBelo : 1
frazaomeirelles : 1
Paiva92 : 1
esthevam_prado : 9
Luis Augusto Galvan Rech : 2
JonathanPRC : 2
Ícaro Rocha : 1
PEQUENO : 2
Miguel Rocha : 1
Leonardo Gabriel Ferreira : 1
DiegoHsnt : 1
AD : 4
Thales André : 1
Mr. Luiz : 3
Herykson Fonseca : 2
Papito : 2
daniel Meirelles : 1
Miguel Waite : 4
GuiKbca92 : 1
Felipe Ferreira : 1
Gabriel Máximo : 2
Thiago Chemin Borsoi : 3
Renato Chagas : 2
Lucas Antonio : 1
Daniel Lima : 2
🐔Marcos218galo🐔 : 2
leleco : 1
André Storto : 2
Caio Barreto : 1
Nicolas Serrath : 6
Molina de lingeri : 3
Eude Martins : 4
feioalmeida : 3
Wellington Sales : 1
Marco Aurélio Haag : 1
Joao Pedro Arruda : 2
Luiz Miguel : 1
TricolorMaisGatoDoRJ : 1
Ricardo Affonso : 2
Ian Figueiras : 1
Pedro Fernandes : 2
Profeta Danete : 1
Henrique Waghals : 1
Gustavo Luiz : 1
Lucas Massa : 1
FX Luuh㊙️ : 1
Expedito Alves : 3
Felipe Pacheco : 2
Biel Curvelo : 1
Victor Sizukusa : 2
Filipe Souza : 4
Di : 3
Daniel Soares : 1
Follk12 : 3
Vitor Schultt Ribeiro : 1
Joao Consoline : 1
Fernando Fenton : 1
Kauã : 1
Kevin eterno 👼 : 1
Jhon Lenon Souza Santos : 1
gostodemaionese : 3
Techzozle : 1
Felipe Salles : 3
AL3x G4m3s : 3
Hitalo Rodrigues : 1
Miguel Mendes : 5
Júnior Oliveira : 1
Henrique Jose : 1
hscury : 1
YtheLoucos : 1
Craque Neto10 oficial : 2
Victor Franco : 3
Nicollas Pestana : 2
Igor Carvalho : 1
Caio R. 🫂🥶💙 : 4
Mairão Victor : 2
Diego Reis🎮😃 : 1
pelegrino1993 fa do sterling mao de dinossauro : 1
Diego Dias : 1
Jean Pierri Santana : 1
gilson sodre : 1
Faria Gui : 1
Roberto Calamari : 1
